3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14,15,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,23,24,25,3,3,3
28,29,30,3,31,32,33,3,3,3,3,3,3,3,3,3,3,3,3,37,38,39,31,32,33
42,43,44,70,45,46,47,70,3,3,3,3,3,3,3,3,3,3,3,51,52,53,45,46,47
56,57,58,3,59,60,61,3,70,3,3,3,3,3,3,3,3,3,70,65,66,67,59,60,61
5,5,5,5,5,5,5,5,23,24,25,3,20,21,22,3,3,3,70,5,5,5,5,5,5
5,5,5,5,5,5,5,5,37,38,39,3,34,35,36,3,31,32,33,5,5,5,5,5,5
23,24,25,23,24,25,5,5,51,52,53,70,48,49,50,70,45,46,47,5,5,3,23,24,25
37,38,39,37,38,39,5,5,65,66,67,3,62,63,64,3,59,60,61,5,5,3,37,38,39
51,52,53,51,52,53,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,51,52,53
65,66,67,65,66,67,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,65,66,67
3,3,3,3,3,3,3,23,24,25,3,3,23,24,25,3,3,23,24,25,3,3,3,3,3
3,3,3,3,3,3,3,37,38,39,3,3,37,38,39,3,3,37,38,39,3,3,3,3,3
3,3,3,3,3,3,3,51,52,53,3,3,51,52,53,3,3,51,52,53,3,3,3,3,3
3,3,3,3,3,3,3,65,66,67,3,3,65,66,67,3,3,65,66,67,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
